Player 1: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 2: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 3: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 4: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 5: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 6: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 7: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 8: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 9: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 10: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 11: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 12: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 13: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 14: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | Cheater
Player 15: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 16: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 17: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads'] | Cheater
Player 18: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 19: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads'] | Cheater
Player 20: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 21: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 22: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | Cheater
Player 23: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 24: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 25: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | Cheater
Player 26: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 27: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 28: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 29: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 30: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 31: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 32: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 33: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 34: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 35: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 36: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 37: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 38: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 39: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails'] | Cheater
Player 40: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 41: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads'] | No Cheater
Player 42: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 43: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails'] | Cheater
Player 44: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails'] | Cheater
Player 45: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 46: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 47: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 48: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | Cheater
Player 49: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 50: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 51: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
Player 52: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 53: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails'] | No Cheater
Player 54: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 55: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | No Cheater
Player 56: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 57: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads'] | Cheater
Player 58: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 59: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads'] | Cheater
Player 60: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 61: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails'] | No Cheater
Player 62: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 63: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads'] | No Cheater
Player 64: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails'] | Cheater
Player 65: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails'] | Cheater
Player 66: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 67: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads'] | Cheater
Player 68: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads'] | Cheater
Player 69: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 70: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | No Cheater
Player 71: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 72: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 73: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 74: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads'] | No Cheater
Player 75: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | No Cheater
Player 76: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads'] | Cheater
Player 77: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 78: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails'] | Cheater
Player 79: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads'] | Cheater
Player 80: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 81: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads'] | Cheater
Player 82: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads'] | Cheater
