Player 1: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 2: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 3: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 4: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 5: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 6: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 7: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 8: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 9: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 10: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 11: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 12: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 13: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 14: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 15: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 16: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 17: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 18: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 19: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 20: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 21: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 22: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 23: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 24: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 25: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 26: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 27: ['Tails', 'Heads', 'Tails', 'Heads', 'Tails']
Player 28: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 29: ['Heads', 'Tails', 'Heads', 'Tails', 'Heads']
Player 30: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 31: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 32: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 33: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 34: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 35: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 36: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 37: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 38: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 39: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 40: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 41: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 42: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 43: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 44: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 45: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 46: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 47: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 48: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 49: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 50: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 51: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 52: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 53: ['Tails', 'Tails', 'Tails', 'Tails', 'Heads']
Player 54: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 55: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 56: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads']
Player 57: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 58: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 59: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 60: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 61: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 62: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads']
Player 63: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 64: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads']
Player 65: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 66: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 67: ['Heads', 'Tails', 'Tails', 'Tails', 'Tails']
Player 68: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 69: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 70: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 71: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 72: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 73: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 74: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 75: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 76: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 77: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads']
Player 78: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 79: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 80: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads']
Player 81: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 82: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 83: ['Tails', 'Heads', 'Tails', 'Heads', 'Heads']
Player 84: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 85: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 86: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 87: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 88: ['Tails', 'Heads', 'Heads', 'Tails', 'Tails']
Player 89: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 90: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 91: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 92: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 93: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 94: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 95: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads']
Player 96: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 97: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 98: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 99: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 100: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 101: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 102: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 103: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 104: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 105: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 106: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 107: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 108: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 109: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 110: ['Tails', 'Tails', 'Tails', 'Heads', 'Tails']
Player 111: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 112: ['Heads', 'Heads', 'Tails', 'Heads', 'Heads']
Player 113: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 114: ['Heads', 'Heads', 'Tails', 'Heads', 'Tails']
Player 115: ['Tails', 'Tails', 'Tails', 'Tails', 'Tails']
Player 116: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 117: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 118: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 119: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads']
Player 120: ['Heads', 'Heads', 'Heads', 'Heads', 'Tails']
Player 121: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 122: ['Tails', 'Tails', 'Heads', 'Tails', 'Tails']
Player 123: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 124: ['Heads', 'Tails', 'Heads', 'Tails', 'Tails']
Player 125: ['Heads', 'Tails', 'Tails', 'Heads', 'Heads']
Player 126: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails']
Player 127: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails']
Player 128: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 129: ['Tails', 'Tails', 'Heads', 'Tails', 'Heads']
Player 130: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 131: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads']
Player 132: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 133: ['Tails', 'Tails', 'Heads', 'Heads', 'Heads']
Player 134: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails']
Player 135: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails']
Player 136: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails']
Player 137: ['Tails', 'Tails', 'Heads', 'Heads', 'Tails']
Player 138: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 139: ['Heads', 'Tails', 'Heads', 'Heads', 'Heads']
Player 140: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads']
Player 141: ['Heads', 'Heads', 'Heads', 'Tails', 'Tails']
Player 142: ['Tails', 'Heads', 'Tails', 'Tails', 'Heads']
Player 143: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads']
