Player 1: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 2: ['Heads', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 3: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 4: ['Tails', 'Tails', 'Tails', 'Heads', 'Heads', 'Not Cheater']
Player 5: ['Heads', 'Tails', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 6: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 7: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 8: ['Tails', 'Heads', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 9: ['Heads', 'Heads', 'Tails', 'Tails', 'Tails', 'Not Cheater']
Player 10: ['Heads', 'Tails', 'Tails', 'Heads', 'Tails', 'Not Cheater']
Player 11: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 12: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 13: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 14: ['Tails', 'Heads', 'Heads', 'Heads', 'Heads', 'Not Cheater']
Player 15: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 16: ['Tails', 'Heads', 'Heads', 'Heads', 'Tails', 'Not Cheater']
Player 17: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 18: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 19: ['Heads', 'Heads', 'Tails', 'Tails', 'Heads', 'Not Cheater']
Player 20: ['Tails', 'Heads', 'Heads', 'Tails', 'Heads', 'Not Cheater']
Player 21: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 22: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 23: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 24: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 25: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 26: ['Heads', 'Heads', 'Heads', 'Heads', 'Heads', 'Cheater']
Player 27: ['Heads', 'Tails', 'Heads', 'Heads', 'Tails', 'Not Cheater']
